state,location,so2,no2,rspm,date,season
Karnataka,Bangalore,18.4,9.8,,1990-06-01,Monsoon
Karnataka,Bangalore,17.4,8.8,,1990-06-01,Monsoon
Karnataka,Bangalore,17.8,10.4,,1990-06-01,Monsoon
Karnataka,Mysore,7.8,7.7,,1990-07-01,Monsoon
Karnataka,Mysore,26.5,8.9,,1990-07-01,Monsoon
Karnataka,Mysore,31.9,8.8,,1990-07-01,Monsoon
Karnataka,Bangalore,10.8,8.7,,1990-07-01,Monsoon
Karnataka,Bangalore,35.4,18.9,,1990-07-01,Monsoon
Karnataka,Bangalore,14.1,8.7,,1990-07-01,Monsoon
Karnataka,Bangalore,11.9,5.1,,1990-07-01,Monsoon
Karnataka,Bangalore,11.8,10.4,,1990-07-01,Monsoon
Karnataka,Mysore,29.4,11.5,,1990-08-01,Monsoon
Karnataka,Mysore,15.2,6.5,,1990-08-01,Monsoon
Karnataka,Bangalore,11.0,3.3,,1990-08-01,Monsoon
Karnataka,Bangalore,18.3,16.7,,1990-08-01,Monsoon
Karnataka,Bangalore,13.9,8.9,,1990-08-01,Monsoon
Karnataka,Bangalore,11.4,5.6,,1990-08-01,Monsoon
Karnataka,Bangalore,7.1,7.2,,1990-08-01,Monsoon
Karnataka,Mysore,26.3,5.6,,1990-09-01,Monsoon
Karnataka,Mysore,24.0,4.6,,1990-09-01,Monsoon
Karnataka,Mysore,15.5,9.4,,1990-09-01,Monsoon
Karnataka,Bangalore,9.2,6.2,,1990-09-01,Monsoon
Karnataka,Bangalore,26.1,22.1,,1990-09-01,Monsoon
Karnataka,Bangalore,11.7,9.6,,1990-09-01,Monsoon
Karnataka,Bangalore,14.4,4.9,,1990-09-01,Monsoon
Karnataka,Bangalore,8.4,9.8,,1990-09-01,Monsoon
Karnataka,Mysore,14.8,7.9,,1990-10-01,Monsoon
Karnataka,Mysore,17.7,9.2,,1990-10-01,Monsoon
Karnataka,Mysore,23.3,43.2,,1990-10-01,Monsoon
Karnataka,Bangalore,7.6,7.5,,1990-10-01,Monsoon
Karnataka,Bangalore,22.4,22.0,,1990-10-01,Monsoon
Karnataka,Bangalore,8.2,13.1,,1990-10-01,Monsoon
Karnataka,Bangalore,13.1,8.5,,1990-10-01,Monsoon
Karnataka,Mysore,24.6,38.6,,1990-11-01,Winter
Karnataka,Mysore,32.9,6.0,,1990-11-01,Winter
Karnataka,Mysore,37.0,9.2,,1990-11-01,Winter
Karnataka,Bangalore,6.4,5.8,,1990-11-01,Winter
Karnataka,Bangalore,30.4,11.9,,1990-11-01,Winter
Karnataka,Bangalore,8.9,10.1,,1990-11-01,Winter
Karnataka,Bangalore,7.0,11.2,,1990-11-01,Winter
Karnataka,Bangalore,9.9,11.0,,1990-11-01,Winter
Karnataka,Mysore,22.4,14.6,,1990-12-01,Winter
Karnataka,Mysore,35.7,16.7,,1990-12-01,Winter
Karnataka,Mysore,21.5,12.1,,1990-12-01,Winter
Karnataka,Bangalore,7.5,3.4,,1990-12-01,Winter
Karnataka,Bangalore,14.2,14.4,,1990-12-01,Winter
Karnataka,Bangalore,10.0,9.3,,1990-12-01,Winter
Karnataka,Bangalore,,,,1990-12-01,Winter
Karnataka,Bangalore,6.0,9.2,,1990-12-01,Winter
Karnataka,Mysore,25.6,35.8,,1991-01-01,Winter
Karnataka,Mysore,34.8,33.5,,1991-01-01,Winter
Karnataka,Mysore,26.6,35.5,,1991-01-01,Winter
Karnataka,Bangalore,10.6,5.1,,1991-01-01,Winter
Karnataka,Bangalore,20.6,19.6,,1991-01-01,Winter
Karnataka,Bangalore,13.9,10.3,,1991-01-01,Winter
Karnataka,Bangalore,17.2,9.0,,1991-01-01,Winter
Karnataka,Bangalore,8.2,10.3,,1991-01-01,Winter
Karnataka,Mysore,21.3,24.1,,1991-02-01,Winter
Karnataka,Mysore,36.3,32.1,,1991-02-01,Winter
Karnataka,Bangalore,13.2,7.9,,1991-02-01,Winter
Karnataka,Bangalore,27.3,12.7,,1991-02-01,Winter
Karnataka,Bangalore,16.3,9.1,,1991-02-01,Winter
Karnataka,Bangalore,22.1,10.0,,1991-02-01,Winter
Karnataka,Mysore,34.3,35.6,,1991-03-01,Summer
Karnataka,Mysore,12.6,12.0,,1991-03-01,Summer
Karnataka,Mysore,17.1,13.7,,1991-03-01,Summer
Karnataka,Bangalore,24.0,5.6,,1991-03-01,Summer
Karnataka,Bangalore,28.9,13.7,,1991-03-01,Summer
Karnataka,Bangalore,20.2,11.6,,1991-03-01,Summer
Karnataka,Bangalore,20.0,9.9,,1991-03-01,Summer
Karnataka,Mysore,9.2,11.7,,1991-04-01,Summer
Karnataka,Mysore,7.5,7.8,,1991-04-01,Summer
Karnataka,Mysore,8.0,28.3,,1991-04-01,Summer
Karnataka,Bangalore,15.1,7.5,,1991-04-01,Summer
Karnataka,Bangalore,40.7,11.9,,1991-04-01,Summer
Karnataka,Bangalore,20.3,10.4,,1991-04-01,Summer
Karnataka,Bangalore,15.4,8.8,,1991-04-01,Summer
Karnataka,Mysore,8.0,4.7,,1991-05-01,Summer
Karnataka,Mysore,12.3,24.3,,1991-05-01,Summer
Karnataka,Mysore,11.7,44.7,,1991-05-01,Summer
Karnataka,Bangalore,69.5,23.4,,1991-05-01,Summer
Karnataka,Bangalore,14.4,8.4,,1991-05-01,Summer
Karnataka,Bangalore,20.3,15.8,,1991-05-01,Summer
Karnataka,Bangalore,14.9,9.4,,1991-05-01,Summer
Karnataka,Mysore,13.2,14.3,,1991-06-01,Monsoon
Karnataka,Mysore,17.0,14.5,,1991-06-01,Monsoon
Karnataka,Mysore,13.8,15.7,,1991-06-01,Monsoon
Karnataka,Bangalore,27.1,23.9,,1991-06-01,Monsoon
Karnataka,Bangalore,16.3,7.6,,1991-06-01,Monsoon
Karnataka,Bangalore,15.9,20.5,,1991-06-01,Monsoon
Karnataka,Bangalore,12.5,13.1,,1991-06-01,Monsoon
Karnataka,Bangalore,14.0,16.0,,1991-07-01,Monsoon
Karnataka,Bangalore,2.5,5.5,,1991-07-01,Monsoon
Karnataka,Bangalore,5.3,6.0,,1991-07-01,Monsoon
Karnataka,Mysore,7.0,16.0,,1991-07-01,Monsoon
Karnataka,Mysore,20.0,36.3,,1991-07-01,Monsoon
Karnataka,Mysore,8.7,8.7,,1991-07-01,Monsoon
Karnataka,Bangalore,24.2,19.8,,1991-08-01,Monsoon
Karnataka,Bangalore,11.7,6.3,,1991-08-01,Monsoon
Karnataka,Mysore,9.3,31.0,,1991-09-01,Monsoon
Karnataka,Mysore,10.0,12.0,,1991-09-01,Monsoon
Karnataka,Mysore,6.3,11.3,,1991-09-01,Monsoon
Karnataka,Mysore,9.7,10.7,,1991-10-01,Monsoon
Karnataka,Mysore,7.7,14.0,,1991-10-01,Monsoon
Karnataka,Mysore,9.0,10.7,,1991-10-01,Monsoon
Karnataka,Mysore,7.3,9.3,,1991-11-01,Winter
Karnataka,Mysore,7.0,8.7,,1991-11-01,Winter
Karnataka,Mysore,8.3,9.3,,1991-11-01,Winter
Karnataka,Mysore,7.7,10.3,,1991-12-01,Winter
Karnataka,Mysore,9.3,9.0,,1991-12-01,Winter
Karnataka,Bangalore,,,,1992-02-01,Winter
Karnataka,Bangalore,,,,1992-06-01,Monsoon
Karnataka,Mysore,20.6,19.7,,1992-06-01,Monsoon
Karnataka,Mysore,18.8,19.5,,1992-06-01,Monsoon
Karnataka,Mysore,14.0,43.5,,1992-09-01,Monsoon
Karnataka,Mysore,18.9,25.3,,1992-10-01,Monsoon
Karnataka,Mysore,21.1,20.9,,1992-11-01,Winter
Karnataka,Mysore,20.4,34.6,,1992-12-01,Winter
Karnataka,Mysore,21.6,25.5,,1993-01-01,Winter
Karnataka,Mysore,26.1,25.8,,1993-01-01,Winter
Karnataka,Mysore,18.9,26.2,,1993-02-01,Winter
Karnataka,Mysore,20.1,23.2,,1993-02-01,Winter
Karnataka,Mysore,19.8,45.1,,1993-03-01,Summer
Karnataka,Mysore,22.5,40.6,,1993-03-01,Summer
Karnataka,Mysore,26.2,24.8,,1993-04-01,Summer
Karnataka,Mysore,24.2,22.3,,1993-04-01,Summer
Karnataka,Mysore,24.9,24.5,,1993-05-01,Summer
Karnataka,Mysore,16.6,30.8,,1993-05-01,Summer
Karnataka,Mysore,24.0,25.1,,1993-06-01,Monsoon
Karnataka,Mysore,17.8,17.5,,1993-06-01,Monsoon
Karnataka,Mysore,27.6,47.8,,1993-07-01,Monsoon
Karnataka,Mysore,17.6,15.8,,1993-07-01,Monsoon
Karnataka,Mysore,31.6,34.1,,1993-08-01,Monsoon
Karnataka,Mysore,25.2,31.1,,1993-08-01,Monsoon
Karnataka,Mysore,22.9,20.6,,1993-09-01,Monsoon
Karnataka,Mysore,27.0,26.7,,1993-09-01,Monsoon
Karnataka,Mysore,49.1,45.7,,1993-10-01,Monsoon
Karnataka,Mysore,28.8,26.3,,1993-10-01,Monsoon
Karnataka,Mysore,22.3,21.8,,1993-11-01,Winter
Karnataka,Mysore,26.2,26.6,,1993-11-01,Winter
Karnataka,Mysore,18.0,40.8,,1993-12-01,Winter
Karnataka,Mysore,18.0,17.7,,1993-12-01,Winter
Karnataka,Mysore,24.0,25.3,,1994-01-01,Winter
Karnataka,Mysore,18.5,18.7,,1994-01-01,Winter
Karnataka,Mysore,25.1,26.9,,1994-02-01,Winter
Karnataka,Mysore,26.2,24.1,,1994-02-01,Winter
Karnataka,Mysore,34.7,31.6,,1994-03-01,Summer
Karnataka,Mysore,27.1,37.6,,1994-03-01,Summer
Karnataka,Mysore,38.2,31.0,,1994-04-01,Summer
Karnataka,Mysore,32.9,27.1,,1994-04-01,Summer
Karnataka,Mysore,24.2,27.8,,1994-05-01,Summer
Karnataka,Mysore,26.1,29.5,,1994-05-01,Summer
Karnataka,Mysore,20.0,22.5,,1994-06-01,Monsoon
Karnataka,Mysore,19.3,25.7,,1994-06-01,Monsoon
Karnataka,Mysore,22.2,25.2,,1994-07-01,Monsoon
Karnataka,Mysore,36.3,22.8,,1994-07-01,Monsoon
Karnataka,Mysore,20.2,21.7,,1994-08-01,Monsoon
Karnataka,Mysore,22.3,23.2,,1994-08-01,Monsoon
Karnataka,Mysore,22.8,24.2,,1994-09-01,Monsoon
Karnataka,Mysore,22.8,25.2,,1994-09-01,Monsoon
Karnataka,Mysore,22.8,24.2,,1994-09-01,Monsoon
Karnataka,Mysore,22.8,25.2,,1994-09-01,Monsoon
Karnataka,Mysore,27.7,30.2,,1994-11-01,Winter
Karnataka,Mysore,26.7,26.8,,1994-11-01,Winter
Karnataka,Mysore,20.5,24.3,,1994-12-01,Winter
Karnataka,Mysore,29.7,29.8,,1994-12-01,Winter
Karnataka,Bangalore,,,,1995-01-01,Winter
Karnataka,Bangalore,,,,1995-02-01,Winter
Karnataka,Bangalore,,,,1995-03-01,Summer
Karnataka,Bangalore,,,,1995-04-01,Summer
Karnataka,Bangalore,,,,1995-05-01,Summer
Karnataka,Bangalore,,,,1995-06-01,Monsoon
Karnataka,Bangalore,,,,1995-07-01,Monsoon
Karnataka,Bangalore,,,,1995-08-01,Monsoon
Karnataka,Bangalore,,,,1995-09-01,Monsoon
Karnataka,Bangalore,,,,1995-10-01,Monsoon
Karnataka,Bangalore,,,,1995-11-01,Winter
Karnataka,Bangalore,,,,1995-12-01,Winter
Karnataka,Bangalore,,,,1995-01-01,Winter
Karnataka,Bangalore,,,,1995-02-01,Winter
Karnataka,Bangalore,,,,1995-03-01,Summer
Karnataka,Bangalore,,,,1995-04-01,Summer
Karnataka,Bangalore,,,,1995-05-01,Summer
Karnataka,Bangalore,,,,1995-06-01,Monsoon
Karnataka,Bangalore,,,,1995-07-01,Monsoon
Karnataka,Bangalore,,,,1995-08-01,Monsoon
Karnataka,Bangalore,,,,1995-09-01,Monsoon
Karnataka,Bangalore,,,,1995-10-01,Monsoon
Karnataka,Bangalore,,,,1995-11-01,Winter
Karnataka,Bangalore,,,,1995-12-01,Winter
Karnataka,Bangalore,,,,1995-01-01,Winter
Karnataka,Bangalore,,,,1995-02-01,Winter
Karnataka,Bangalore,,,,1995-03-01,Summer
Karnataka,Bangalore,,,,1995-04-01,Summer
Karnataka,Bangalore,,,,1995-05-01,Summer
Karnataka,Bangalore,,,,1995-06-01,Monsoon
Karnataka,Bangalore,,,,1995-07-01,Monsoon
Karnataka,Bangalore,,,,1995-08-01,Monsoon
Karnataka,Bangalore,,,,1995-09-01,Monsoon
Karnataka,Bangalore,,,,1995-10-01,Monsoon
Karnataka,Bangalore,,,,1995-11-01,Winter
Karnataka,Bangalore,,,,1995-12-01,Winter
Karnataka,Mysore,26.7,27.2,,1995-01-01,Winter
Karnataka,Mysore,25.7,26.5,,1995-02-01,Winter
Karnataka,Mysore,30.8,30.5,,1995-03-01,Summer
Karnataka,Mysore,32.5,27.0,,1995-04-01,Summer
Karnataka,Mysore,25.3,28.2,,1995-05-01,Summer
Karnataka,Mysore,25.7,26.0,,1995-06-01,Monsoon
Karnataka,Mysore,38.5,31.0,,1995-07-01,Monsoon
Karnataka,Mysore,35.7,34.7,,1995-08-01,Monsoon
Karnataka,Mysore,36.3,32.8,,1995-09-01,Monsoon
Karnataka,Mysore,44.3,33.5,,1995-10-01,Monsoon
Karnataka,Mysore,36.2,33.0,,1995-11-01,Winter
Karnataka,Mysore,49.3,37.2,,1995-12-01,Winter
Karnataka,Mysore,26.0,27.7,,1995-01-01,Winter
Karnataka,Mysore,24.3,28.3,,1995-02-01,Winter
Karnataka,Mysore,28.2,29.3,,1995-03-01,Summer
Karnataka,Mysore,25.3,32.2,,1995-04-01,Summer
Karnataka,Mysore,26.5,26.7,,1995-05-01,Summer
Karnataka,Mysore,,,,1995-06-01,Monsoon
Karnataka,Mysore,37.0,34.7,,1995-07-01,Monsoon
Karnataka,Mysore,49.5,38.0,,1995-08-01,Monsoon
Karnataka,Mysore,42.8,35.7,,1995-09-01,Monsoon
Karnataka,Mysore,36.5,33.8,,1995-10-01,Monsoon
Karnataka,Mysore,,,,1995-11-01,Winter
Karnataka,Mysore,34.8,28.7,,1995-12-01,Winter
Karnataka,Mysore,32.3,37.8,,1996-01-01,Winter
Karnataka,Mysore,38.2,40.8,,1996-01-01,Winter
Karnataka,Mysore,44.2,38.0,,1996-02-01,Winter
Karnataka,Mysore,30.5,29.5,,1996-02-01,Winter
Karnataka,Mysore,41.5,35.3,,1996-03-01,Summer
Karnataka,Mysore,44.5,38.3,,1996-03-01,Summer
Karnataka,Mysore,37.0,27.7,,1996-04-01,Summer
Karnataka,Mysore,47.3,38.7,,1996-04-01,Summer
Karnataka,Mysore,32.8,29.0,,1996-05-01,Summer
Karnataka,Mysore,32.7,27.3,,1996-05-01,Summer
Karnataka,Mysore,36.3,33.0,,1996-06-01,Monsoon
Karnataka,Mysore,31.2,24.2,,1996-06-01,Monsoon
Karnataka,Mysore,25.2,28.0,,1996-07-01,Monsoon
Karnataka,Mysore,27.2,28.0,,1996-07-01,Monsoon
